Formulation	DrugName	SubCat	SubCat1
Injection	Cetrizine	Antipyretic	PPI
Injection	Metformin	Antihistamine	Penicillin
Ointment	Cetrizine	Antibiotic	Penicillin
Tablet	Paracetamol	Antihistamine	PPI
Injection	Aspirin	Antipyretic	PPI
Syrup	Cetrizine	Painkiller	H1 Blocker
Tablet	Ibuprofen	Antibiotic	PPI
Syrup	Omeprazole	Antipyretic	Salicylate
Ointment	Ibuprofen	Painkiller	PPI
Syrup	Cetrizine	Antacid	Salicylate
Tablet	Amoxicillin	Painkiller	H1 Blocker
Syrup	Paracetamol	Antibiotic	Salicylate
Capsule	Aspirin	Painkiller	NSAID
Capsule	Cetrizine	Painkiller	Salicylate
Ointment	Aspirin	Painkiller	PPI
Ointment	Ibuprofen	Antibiotic	PPI
Tablet	Omeprazole	Antihistamine	NSAID
Capsule	Paracetamol	Antipyretic	NSAID
Syrup	Omeprazole	Antipyretic	PPI
Syrup	Amoxicillin	Painkiller	NSAID
Injection	Omeprazole	Antihistamine	NSAID
Injection	Amoxicillin	Antacid	Penicillin
Injection	Aspirin	Painkiller	NSAID
Ointment	Cetrizine	Antibiotic	Salicylate
Capsule	Paracetamol	Antihistamine	Salicylate
Syrup	Aspirin	Antibiotic	Salicylate
Capsule	Aspirin	Antibiotic	H1 Blocker
Ointment	Aspirin	Antacid	H1 Blocker
Capsule	Cetrizine	Antacid	Penicillin
Tablet	Aspirin	Antihistamine	Salicylate
Tablet	Metformin	Antibiotic	H1 Blocker
Ointment	Aspirin	Antacid	PPI
Syrup	Paracetamol	Antacid	NSAID
Tablet	Aspirin	Painkiller	H1 Blocker
Injection	Omeprazole	Antipyretic	Salicylate
Capsule	Ibuprofen	Antacid	Salicylate
Capsule	Paracetamol	Antibiotic	PPI
Capsule	Amoxicillin	Antipyretic	PPI
Capsule	Omeprazole	Painkiller	PPI
Injection	Metformin	Antihistamine	PPI
Syrup	Omeprazole	Painkiller	NSAID
Capsule	Omeprazole	Antipyretic	Salicylate
Injection	Metformin	Antihistamine	Salicylate
Capsule	Metformin	Antacid	Salicylate
Injection	Metformin	Antibiotic	NSAID
Injection	Amoxicillin	Antibiotic	Penicillin
Tablet	Metformin	Antipyretic	Penicillin
Tablet	Paracetamol	Painkiller	NSAID
Injection	Paracetamol	Antibiotic	PPI
Tablet	Aspirin	Antacid	NSAID
Tablet	Aspirin	Antacid	Penicillin
Capsule	Paracetamol	Antibiotic	Salicylate
Ointment	Metformin	Antacid	Penicillin
Capsule	Metformin	Antihistamine	PPI
Syrup	Ibuprofen	Antacid	PPI
Syrup	Omeprazole	Antihistamine	H1 Blocker
Ointment	Paracetamol	Painkiller	H1 Blocker
Tablet	Ibuprofen	Antibiotic	PPI
Capsule	Paracetamol	Antipyretic	NSAID
Injection	Metformin	Antipyretic	NSAID
Syrup	Omeprazole	Painkiller	Salicylate
Syrup	Ibuprofen	Antipyretic	PPI
Syrup	Omeprazole	Antipyretic	Salicylate
Tablet	Amoxicillin	Antacid	Salicylate
Injection	Metformin	Antibiotic	PPI
Ointment	Ibuprofen	Antibiotic	PPI
Tablet	Amoxicillin	Antacid	NSAID
Ointment	Paracetamol	Antacid	H1 Blocker
Syrup	Omeprazole	Antibiotic	PPI
Syrup	Aspirin	Antacid	NSAID
Ointment	Cetrizine	Antihistamine	Penicillin
Ointment	Ibuprofen	Antihistamine	NSAID
Tablet	Paracetamol	Painkiller	Salicylate
Injection	Omeprazole	Antihistamine	Penicillin
Ointment	Omeprazole	Antihistamine	H1 Blocker
Injection	Metformin	Antibiotic	H1 Blocker
Injection	Metformin	Antihistamine	Penicillin
Tablet	Paracetamol	Antacid	Penicillin
Syrup	Paracetamol	Antihistamine	PPI
Syrup	Aspirin	Antihistamine	Salicylate
Capsule	Cetrizine	Antacid	Salicylate
Capsule	Aspirin	Antihistamine	Penicillin
Injection	Paracetamol	Antipyretic	H1 Blocker
Tablet	Aspirin	Painkiller	Penicillin
Injection	Ibuprofen	Antihistamine	H1 Blocker
Injection	Amoxicillin	Antipyretic	H1 Blocker
Tablet	Paracetamol	Antibiotic	Penicillin
Injection	Paracetamol	Antipyretic	PPI
Ointment	Cetrizine	Antihistamine	NSAID
Capsule	Paracetamol	Antacid	NSAID
Ointment	Cetrizine	Antihistamine	Penicillin
Syrup	Metformin	Antihistamine	Salicylate
Capsule	Cetrizine	Antacid	NSAID
Ointment	Omeprazole	Antacid	Penicillin
Capsule	Paracetamol	Antacid	Penicillin
Injection	Cetrizine	Antihistamine	NSAID
Syrup	Omeprazole	Painkiller	Salicylate
Capsule	Aspirin	Antihistamine	NSAID
Tablet	Omeprazole	Painkiller	H1 Blocker
Ointment	Aspirin	Antibiotic	H1 Blocker
Injection	Omeprazole	Antacid	Salicylate
Capsule	Omeprazole	Painkiller	PPI
Tablet	Metformin	Antihistamine	PPI
Capsule	Ibuprofen	Antipyretic	NSAID
Tablet	Omeprazole	Painkiller	NSAID
Syrup	Aspirin	Antihistamine	Salicylate
Ointment	Cetrizine	Antacid	Penicillin
Tablet	Paracetamol	Antihistamine	PPI
Injection	Amoxicillin	Antibiotic	PPI
Tablet	Omeprazole	Antacid	H1 Blocker
Ointment	Cetrizine	Antibiotic	H1 Blocker
Syrup	Aspirin	Antipyretic	H1 Blocker
Syrup	Aspirin	Antipyretic	H1 Blocker
Ointment	Omeprazole	Antacid	NSAID
Ointment	Cetrizine	Painkiller	NSAID
Capsule	Omeprazole	Painkiller	NSAID
Tablet	Cetrizine	Painkiller	PPI
Ointment	Omeprazole	Painkiller	Penicillin
Injection	Aspirin	Antihistamine	H1 Blocker
Injection	Aspirin	Antihistamine	H1 Blocker
Syrup	Ibuprofen	Antacid	PPI
Ointment	Cetrizine	Antihistamine	Penicillin
Ointment	Omeprazole	Antacid	NSAID
Tablet	Aspirin	Painkiller	NSAID
Syrup	Cetrizine	Antihistamine	PPI
Ointment	Metformin	Painkiller	Penicillin
Injection	Amoxicillin	Antipyretic	NSAID
Capsule	Omeprazole	Antacid	H1 Blocker
Syrup	Cetrizine	Painkiller	Salicylate
Capsule	Amoxicillin	Antacid	Penicillin
Tablet	Metformin	Antipyretic	Penicillin
Syrup	Amoxicillin	Antibiotic	Penicillin
Ointment	Paracetamol	Antihistamine	PPI
Syrup	Aspirin	Painkiller	H1 Blocker
Syrup	Paracetamol	Antihistamine	Penicillin
Injection	Omeprazole	Antihistamine	PPI
Injection	Cetrizine	Antacid	Penicillin
Ointment	Omeprazole	Painkiller	H1 Blocker
Ointment	Paracetamol	Antihistamine	H1 Blocker
Tablet	Omeprazole	Antipyretic	H1 Blocker
Injection	Amoxicillin	Antibiotic	Salicylate
Ointment	Ibuprofen	Antipyretic	NSAID
Injection	Metformin	Painkiller	Salicylate
Injection	Ibuprofen	Painkiller	H1 Blocker
Tablet	Amoxicillin	Painkiller	Penicillin
Syrup	Paracetamol	Antihistamine	NSAID
Injection	Paracetamol	Antihistamine	NSAID
Ointment	Ibuprofen	Antibiotic	Penicillin
Syrup	Omeprazole	Antihistamine	PPI
Injection	Paracetamol	Antipyretic	Penicillin
Capsule	Ibuprofen	Antacid	H1 Blocker
Capsule	Omeprazole	Antihistamine	Salicylate
Tablet	Metformin	Antipyretic	NSAID
Capsule	Omeprazole	Antibiotic	H1 Blocker
Syrup	Cetrizine	Painkiller	Salicylate
Ointment	Paracetamol	Antibiotic	PPI
Syrup	Paracetamol	Antipyretic	H1 Blocker
Tablet	Metformin	Antipyretic	NSAID
Syrup	Omeprazole	Antibiotic	PPI
Tablet	Aspirin	Antacid	NSAID
Tablet	Aspirin	Antibiotic	PPI
Tablet	Metformin	Antihistamine	H1 Blocker
Injection	Paracetamol	Antibiotic	NSAID
Injection	Amoxicillin	Painkiller	Penicillin
Injection	Aspirin	Antipyretic	Salicylate
Tablet	Cetrizine	Antihistamine	Penicillin
Tablet	Cetrizine	Antihistamine	PPI
Syrup	Aspirin	Antipyretic	H1 Blocker
Capsule	Amoxicillin	Antihistamine	Penicillin
Ointment	Paracetamol	Painkiller	Salicylate
Capsule	Metformin	Antihistamine	PPI
Injection	Ibuprofen	Antihistamine	Salicylate
Capsule	Ibuprofen	Antacid	H1 Blocker
Ointment	Metformin	Antihistamine	Salicylate
Ointment	Cetrizine	Antihistamine	H1 Blocker
Ointment	Aspirin	Antipyretic	NSAID
Tablet	Omeprazole	Painkiller	NSAID
Injection	Amoxicillin	Antibiotic	PPI
Tablet	Amoxicillin	Painkiller	Penicillin
Ointment	Metformin	Painkiller	Penicillin
Capsule	Ibuprofen	Antihistamine	NSAID
Tablet	Ibuprofen	Antipyretic	Penicillin
Tablet	Omeprazole	Antihistamine	PPI
Tablet	Metformin	Antipyretic	PPI
Capsule	Metformin	Antipyretic	H1 Blocker
Ointment	Ibuprofen	Antacid	NSAID
Injection	Cetrizine	Antipyretic	NSAID
Injection	Cetrizine	Antipyretic	H1 Blocker
Syrup	Cetrizine	Antihistamine	Salicylate
Ointment	Cetrizine	Antihistamine	Penicillin
Tablet	Aspirin	Antibiotic	Salicylate
Tablet	Omeprazole	Painkiller	Salicylate
Syrup	Amoxicillin	Antacid	Penicillin
Syrup	Metformin	Antihistamine	Penicillin
Injection	Amoxicillin	Painkiller	Penicillin
Ointment	Paracetamol	Antacid	Penicillin
Syrup	Aspirin	Antacid	H1 Blocker
Ointment	Metformin	Antibiotic	NSAID
Injection	Omeprazole	Antihistamine	NSAID
Tablet	Omeprazole	Antibiotic	NSAID
Injection	Omeprazole	Antihistamine	H1 Blocker
Ointment	Ibuprofen	Painkiller	H1 Blocker
Syrup	Amoxicillin	Antacid	NSAID
Injection	Amoxicillin	Antacid	H1 Blocker
Capsule	Metformin	Antibiotic	H1 Blocker
Tablet	Ibuprofen	Antacid	Salicylate
Capsule	Amoxicillin	Antihistamine	Penicillin
Capsule	Cetrizine	Antihistamine	Salicylate
Syrup	Paracetamol	Antihistamine	H1 Blocker
Capsule	Amoxicillin	Antihistamine	Salicylate
Injection	Cetrizine	Antacid	PPI
Injection	Cetrizine	Antacid	PPI
Injection	Omeprazole	Antacid	Salicylate
Syrup	Metformin	Antibiotic	NSAID
Tablet	Ibuprofen	Antacid	PPI
Injection	Aspirin	Antacid	Penicillin
Syrup	Omeprazole	Antipyretic	PPI
Tablet	Cetrizine	Antibiotic	H1 Blocker
Injection	Ibuprofen	Painkiller	H1 Blocker
Injection	Omeprazole	Antacid	Salicylate
Syrup	Aspirin	Antihistamine	PPI
Tablet	Paracetamol	Antihistamine	Salicylate
Syrup	Ibuprofen	Painkiller	Penicillin
Tablet	Cetrizine	Painkiller	Penicillin
Ointment	Paracetamol	Antipyretic	Salicylate
Injection	Ibuprofen	Antibiotic	Penicillin
Injection	Paracetamol	Painkiller	H1 Blocker
Tablet	Metformin	Painkiller	Salicylate
Tablet	Amoxicillin	Antacid	PPI
Tablet	Omeprazole	Antacid	Penicillin
Ointment	Omeprazole	Antihistamine	Salicylate
Syrup	Amoxicillin	Painkiller	Salicylate
Tablet	Omeprazole	Antacid	Salicylate
Syrup	Ibuprofen	Painkiller	Penicillin
Capsule	Paracetamol	Antipyretic	Penicillin
Capsule	Amoxicillin	Antihistamine	Salicylate
Capsule	Ibuprofen	Antihistamine	Salicylate
Capsule	Metformin	Antacid	Salicylate
Ointment	Aspirin	Painkiller	Penicillin
Capsule	Paracetamol	Antihistamine	H1 Blocker
Tablet	Paracetamol	Antibiotic	Salicylate
Tablet	Omeprazole	Painkiller	PPI
Ointment	Aspirin	Antipyretic	Penicillin
Ointment	Ibuprofen	Antibiotic	H1 Blocker
Injection	Cetrizine	Antipyretic	PPI
Injection	Aspirin	Antibiotic	PPI
Ointment	Ibuprofen	Antacid	PPI
Ointment	Amoxicillin	Antibiotic	NSAID
Capsule	Aspirin	Antipyretic	NSAID
Syrup	Paracetamol	Painkiller	Salicylate
Ointment	Ibuprofen	Antibiotic	Penicillin
Capsule	Omeprazole	Antibiotic	Penicillin
Capsule	Paracetamol	Antibiotic	NSAID
Syrup	Aspirin	Antibiotic	Penicillin
Injection	Amoxicillin	Painkiller	NSAID
Ointment	Omeprazole	Antihistamine	PPI
Syrup	Ibuprofen	Antipyretic	NSAID
Capsule	Omeprazole	Painkiller	H1 Blocker
Capsule	Aspirin	Antipyretic	PPI
Ointment	Amoxicillin	Antacid	NSAID
Syrup	Aspirin	Antipyretic	NSAID
Injection	Cetrizine	Antihistamine	PPI
Ointment	Aspirin	Antipyretic	NSAID
Tablet	Amoxicillin	Antibiotic	H1 Blocker
Tablet	Ibuprofen	Antipyretic	Salicylate
Tablet	Metformin	Antipyretic	H1 Blocker
Injection	Paracetamol	Antihistamine	NSAID
Capsule	Omeprazole	Antacid	PPI
Ointment	Paracetamol	Antihistamine	Penicillin
Capsule	Ibuprofen	Antibiotic	H1 Blocker
Ointment	Paracetamol	Antipyretic	Penicillin
Tablet	Paracetamol	Antibiotic	NSAID
Injection	Aspirin	Painkiller	Penicillin
Capsule	Metformin	Painkiller	NSAID
Tablet	Paracetamol	Painkiller	NSAID
Capsule	Aspirin	Painkiller	Penicillin
Syrup	Metformin	Antihistamine	PPI
Tablet	Amoxicillin	Painkiller	Penicillin
Syrup	Amoxicillin	Painkiller	Salicylate
Tablet	Ibuprofen	Antihistamine	Penicillin
Ointment	Metformin	Antibiotic	H1 Blocker
Capsule	Omeprazole	Painkiller	H1 Blocker
Injection	Omeprazole	Painkiller	Salicylate
Injection	Metformin	Antipyretic	NSAID
Syrup	Paracetamol	Antibiotic	NSAID
Injection	Amoxicillin	Antibiotic	NSAID
Tablet	Omeprazole	Antibiotic	PPI
Ointment	Aspirin	Antacid	PPI
Injection	Metformin	Antibiotic	H1 Blocker
Capsule	Ibuprofen	Antipyretic	Penicillin
Tablet	Paracetamol	Antibiotic	Salicylate
Ointment	Ibuprofen	Antihistamine	Salicylate
Syrup	Cetrizine	Antipyretic	Salicylate
Capsule	Amoxicillin	Antacid	Salicylate
Syrup	Metformin	Antipyretic	PPI
Tablet	Aspirin	Antibiotic	PPI
Ointment	Metformin	Antihistamine	PPI
Tablet	Omeprazole	Antibiotic	Salicylate
Tablet	Paracetamol	Antibiotic	Salicylate
Injection	Omeprazole	Antacid	NSAID
Tablet	Paracetamol	Antibiotic	NSAID
Ointment	Cetrizine	Antibiotic	Salicylate
Ointment	Aspirin	Antihistamine	NSAID
Injection	Omeprazole	Antibiotic	Salicylate
Tablet	Cetrizine	Antibiotic	Salicylate
Ointment	Aspirin	Antipyretic	Salicylate
Tablet	Ibuprofen	Antihistamine	Salicylate
Tablet	Amoxicillin	Antacid	Salicylate
Ointment	Amoxicillin	Antacid	H1 Blocker
Injection	Ibuprofen	Painkiller	Salicylate
Ointment	Ibuprofen	Antipyretic	H1 Blocker
Ointment	Amoxicillin	Antipyretic	H1 Blocker
Injection	Paracetamol	Painkiller	H1 Blocker
Ointment	Ibuprofen	Antibiotic	NSAID
Ointment	Amoxicillin	Antacid	H1 Blocker
Ointment	Amoxicillin	Antihistamine	Salicylate
Syrup	Ibuprofen	Painkiller	Salicylate
Ointment	Aspirin	Painkiller	Penicillin
Ointment	Ibuprofen	Antihistamine	Penicillin
Tablet	Ibuprofen	Antacid	Penicillin
Capsule	Ibuprofen	Antacid	Penicillin
Capsule	Metformin	Painkiller	H1 Blocker
Ointment	Cetrizine	Antihistamine	Salicylate
Capsule	Omeprazole	Antibiotic	H1 Blocker
Ointment	Omeprazole	Antihistamine	PPI
Syrup	Amoxicillin	Antacid	PPI
Ointment	Aspirin	Antibiotic	H1 Blocker
Syrup	Omeprazole	Antibiotic	PPI
Injection	Omeprazole	Antipyretic	NSAID
Injection	Metformin	Painkiller	Penicillin
Capsule	Ibuprofen	Antipyretic	NSAID
Ointment	Metformin	Painkiller	H1 Blocker
Syrup	Paracetamol	Painkiller	Salicylate
Tablet	Paracetamol	Antacid	PPI
Tablet	Paracetamol	Antipyretic	Salicylate
Capsule	Metformin	Antipyretic	PPI
Injection	Omeprazole	Antipyretic	H1 Blocker
Capsule	Paracetamol	Painkiller	NSAID
Capsule	Amoxicillin	Antihistamine	PPI
Ointment	Cetrizine	Antipyretic	H1 Blocker
Ointment	Metformin	Antacid	PPI
Injection	Aspirin	Painkiller	Salicylate
Tablet	Aspirin	Antipyretic	Salicylate
Tablet	Paracetamol	Antacid	Penicillin
Tablet	Cetrizine	Antihistamine	Salicylate
Injection	Ibuprofen	Antipyretic	H1 Blocker
Syrup	Paracetamol	Painkiller	H1 Blocker
Syrup	Amoxicillin	Painkiller	NSAID
Injection	Paracetamol	Antibiotic	PPI
Capsule	Aspirin	Antihistamine	Penicillin
Tablet	Metformin	Antipyretic	Penicillin
Tablet	Omeprazole	Antibiotic	NSAID
Syrup	Amoxicillin	Antibiotic	Salicylate
Injection	Aspirin	Painkiller	H1 Blocker
Tablet	Omeprazole	Antacid	Penicillin
Tablet	Ibuprofen	Antacid	PPI
Syrup	Ibuprofen	Antipyretic	PPI
Tablet	Ibuprofen	Antibiotic	Salicylate
Injection	Ibuprofen	Antacid	Penicillin
Tablet	Cetrizine	Antihistamine	NSAID
Tablet	Amoxicillin	Antipyretic	Salicylate
Capsule	Omeprazole	Antacid	H1 Blocker
Syrup	Paracetamol	Antacid	H1 Blocker
Capsule	Omeprazole	Antipyretic	PPI
Ointment	Omeprazole	Painkiller	NSAID
Ointment	Paracetamol	Antihistamine	PPI
Ointment	Aspirin	Antacid	Penicillin
Injection	Amoxicillin	Painkiller	Salicylate
Injection	Ibuprofen	Antipyretic	PPI
Syrup	Amoxicillin	Antipyretic	Penicillin
Ointment	Omeprazole	Antipyretic	NSAID
Capsule	Paracetamol	Antihistamine	PPI
Ointment	Amoxicillin	Painkiller	Penicillin
Capsule	Aspirin	Painkiller	Penicillin
Capsule	Aspirin	Antacid	Salicylate
Injection	Paracetamol	Antihistamine	Salicylate
Ointment	Aspirin	Antibiotic	NSAID
Tablet	Aspirin	Antipyretic	Penicillin
Injection	Paracetamol	Antihistamine	NSAID
Ointment	Amoxicillin	Painkiller	PPI
Ointment	Amoxicillin	Painkiller	Penicillin
Tablet	Metformin	Antipyretic	NSAID
Capsule	Ibuprofen	Antibiotic	PPI
Injection	Paracetamol	Painkiller	H1 Blocker
Syrup	Aspirin	Antipyretic	Salicylate
Capsule	Cetrizine	Antipyretic	NSAID
Injection	Paracetamol	Antihistamine	Penicillin
Tablet	Paracetamol	Antipyretic	H1 Blocker
Ointment	Cetrizine	Painkiller	H1 Blocker
Injection	Aspirin	Antihistamine	Penicillin
Tablet	Ibuprofen	Antibiotic	Salicylate
Syrup	Ibuprofen	Antibiotic	NSAID
Tablet	Cetrizine	Antacid	Penicillin
Injection	Omeprazole	Antihistamine	Salicylate
Syrup	Cetrizine	Antacid	NSAID
Capsule	Omeprazole	Antihistamine	Salicylate
Capsule	Ibuprofen	Antihistamine	Penicillin
Injection	Cetrizine	Antacid	Penicillin
Syrup	Ibuprofen	Antibiotic	H1 Blocker
Syrup	Cetrizine	Antacid	Penicillin
Tablet	Amoxicillin	Antihistamine	PPI
Syrup	Metformin	Painkiller	H1 Blocker
Tablet	Amoxicillin	Antacid	Salicylate
Injection	Amoxicillin	Antibiotic	Salicylate
Capsule	Amoxicillin	Painkiller	H1 Blocker
Tablet	Aspirin	Antibiotic	H1 Blocker
Tablet	Ibuprofen	Antihistamine	PPI
Ointment	Metformin	Antipyretic	H1 Blocker
Syrup	Metformin	Painkiller	H1 Blocker
Tablet	Omeprazole	Antibiotic	NSAID
Injection	Amoxicillin	Antipyretic	Penicillin
Injection	Paracetamol	Antibiotic	Salicylate
Capsule	Omeprazole	Painkiller	NSAID
Syrup	Amoxicillin	Painkiller	H1 Blocker
Tablet	Cetrizine	Painkiller	NSAID
Syrup	Aspirin	Antihistamine	H1 Blocker
Ointment	Ibuprofen	Antacid	Penicillin
Ointment	Ibuprofen	Antipyretic	Salicylate
Syrup	Cetrizine	Antacid	Penicillin
Tablet	Amoxicillin	Antipyretic	H1 Blocker
Injection	Omeprazole	Antipyretic	PPI
Syrup	Omeprazole	Antihistamine	NSAID
Ointment	Metformin	Antacid	Penicillin
Ointment	Omeprazole	Antacid	Salicylate
Injection	Aspirin	Painkiller	PPI
Tablet	Paracetamol	Antacid	H1 Blocker
Capsule	Ibuprofen	Antacid	H1 Blocker
Capsule	Ibuprofen	Antacid	H1 Blocker
Syrup	Metformin	Antibiotic	PPI
Ointment	Paracetamol	Painkiller	Salicylate
Syrup	Metformin	Painkiller	H1 Blocker
Injection	Ibuprofen	Antacid	NSAID
Tablet	Omeprazole	Antibiotic	NSAID
Syrup	Metformin	Painkiller	Salicylate
Injection	Aspirin	Painkiller	PPI
Ointment	Ibuprofen	Antihistamine	H1 Blocker
Syrup	Metformin	Antibiotic	PPI
Syrup	Ibuprofen	Antihistamine	Penicillin
Ointment	Amoxicillin	Painkiller	Salicylate
Ointment	Omeprazole	Antibiotic	Salicylate
Capsule	Ibuprofen	Painkiller	H1 Blocker
Injection	Cetrizine	Antibiotic	Penicillin
Ointment	Omeprazole	Antihistamine	PPI
Injection	Cetrizine	Antihistamine	Penicillin
Capsule	Ibuprofen	Antibiotic	PPI
Ointment	Aspirin	Painkiller	Penicillin
Tablet	Aspirin	Antacid	Penicillin
Syrup	Cetrizine	Antihistamine	NSAID
Syrup	Amoxicillin	Antibiotic	PPI
Tablet	Aspirin	Antipyretic	Salicylate
Tablet	Cetrizine	Antacid	Salicylate
Tablet	Metformin	Antacid	PPI
Ointment	Omeprazole	Antibiotic	NSAID
Tablet	Ibuprofen	Antibiotic	Salicylate
Capsule	Omeprazole	Antipyretic	Penicillin
Syrup	Amoxicillin	Painkiller	NSAID
Capsule	Cetrizine	Antihistamine	Penicillin
Injection	Aspirin	Antacid	NSAID
Tablet	Amoxicillin	Antacid	NSAID
Injection	Paracetamol	Antipyretic	NSAID
Ointment	Ibuprofen	Antihistamine	NSAID
Capsule	Metformin	Antacid	H1 Blocker
Ointment	Aspirin	Antacid	PPI
Injection	Omeprazole	Painkiller	NSAID
Capsule	Paracetamol	Antipyretic	Penicillin
Ointment	Ibuprofen	Antacid	PPI
Tablet	Aspirin	Antibiotic	PPI
Injection	Cetrizine	Antihistamine	NSAID
Ointment	Paracetamol	Antipyretic	NSAID
Capsule	Metformin	Antacid	H1 Blocker
Injection	Paracetamol	Antacid	H1 Blocker
Tablet	Aspirin	Antipyretic	PPI
Ointment	Ibuprofen	Antibiotic	Penicillin
Injection	Aspirin	Antibiotic	Penicillin
Capsule	Omeprazole	Antacid	Salicylate
Syrup	Aspirin	Antihistamine	H1 Blocker
Ointment	Metformin	Antihistamine	H1 Blocker
Capsule	Metformin	Antacid	Salicylate
Capsule	Metformin	Antipyretic	PPI
Injection	Metformin	Antihistamine	Salicylate
Tablet	Paracetamol	Antacid	PPI
Ointment	Aspirin	Antipyretic	Penicillin
Syrup	Cetrizine	Antibiotic	PPI
Injection	Ibuprofen	Antacid	Salicylate
Syrup	Amoxicillin	Antibiotic	H1 Blocker
Injection	Ibuprofen	Painkiller	PPI
Capsule	Aspirin	Antihistamine	H1 Blocker
Syrup	Omeprazole	Painkiller	Salicylate
Ointment	Aspirin	Painkiller	Penicillin
Capsule	Omeprazole	Antibiotic	PPI
Ointment	Paracetamol	Antipyretic	H1 Blocker
Injection	Cetrizine	Painkiller	NSAID
Syrup	Omeprazole	Antacid	NSAID
Syrup	Paracetamol	Antibiotic	PPI
Capsule	Amoxicillin	Painkiller	PPI
Syrup	Amoxicillin	Antihistamine	NSAID
Ointment	Amoxicillin	Antihistamine	H1 Blocker
Ointment	Omeprazole	Antipyretic	NSAID
Tablet	Ibuprofen	Painkiller	Penicillin
Ointment	Omeprazole	Painkiller	Penicillin
Capsule	Cetrizine	Painkiller	Penicillin
Syrup	Omeprazole	Antibiotic	Salicylate
Injection	Cetrizine	Antibiotic	NSAID
Capsule	Ibuprofen	Antihistamine	PPI
Syrup	Paracetamol	Painkiller	Salicylate
Tablet	Omeprazole	Antihistamine	H1 Blocker
Capsule	Metformin	Antibiotic	Penicillin
Tablet	Cetrizine	Antibiotic	H1 Blocker
Ointment	Ibuprofen	Antibiotic	Penicillin
Syrup	Cetrizine	Painkiller	PPI
Injection	Aspirin	Antihistamine	NSAID
Tablet	Amoxicillin	Painkiller	Penicillin
Capsule	Metformin	Antibiotic	Penicillin
Syrup	Metformin	Antihistamine	H1 Blocker
Syrup	Paracetamol	Antibiotic	Penicillin
Syrup	Paracetamol	Antipyretic	Penicillin
Syrup	Amoxicillin	Painkiller	NSAID
Syrup	Omeprazole	Antipyretic	H1 Blocker
Tablet	Cetrizine	Antacid	PPI
Capsule	Cetrizine	Antipyretic	PPI
Capsule	Cetrizine	Painkiller	Salicylate
Ointment	Metformin	Antihistamine	H1 Blocker
Syrup	Omeprazole	Antihistamine	Salicylate
Syrup	Aspirin	Antihistamine	H1 Blocker
Ointment	Omeprazole	Antihistamine	Penicillin
Syrup	Amoxicillin	Antipyretic	Penicillin
Capsule	Metformin	Antipyretic	PPI
Syrup	Omeprazole	Antibiotic	NSAID
Syrup	Amoxicillin	Painkiller	NSAID
Syrup	Amoxicillin	Antihistamine	PPI
Ointment	Ibuprofen	Antipyretic	Penicillin
Capsule	Ibuprofen	Antipyretic	H1 Blocker
Syrup	Omeprazole	Antihistamine	NSAID
Injection	Amoxicillin	Antibiotic	Penicillin
Injection	Cetrizine	Antibiotic	NSAID
Tablet	Amoxicillin	Antihistamine	H1 Blocker
Syrup	Amoxicillin	Antihistamine	NSAID
Injection	Omeprazole	Antacid	Penicillin
Injection	Amoxicillin	Painkiller	Penicillin
Injection	Paracetamol	Antipyretic	PPI
Capsule	Amoxicillin	Antibiotic	Penicillin
Tablet	Amoxicillin	Antihistamine	PPI
Ointment	Aspirin	Antibiotic	Penicillin
Ointment	Omeprazole	Painkiller	PPI
Injection	Paracetamol	Painkiller	Penicillin
Capsule	Ibuprofen	Antibiotic	NSAID
Syrup	Amoxicillin	Antipyretic	NSAID
Capsule	Cetrizine	Painkiller	Penicillin
Ointment	Metformin	Antipyretic	H1 Blocker
Injection	Omeprazole	Antacid	Salicylate
Capsule	Aspirin	Antipyretic	H1 Blocker
Syrup	Amoxicillin	Painkiller	PPI
Ointment	Ibuprofen	Antibiotic	H1 Blocker
Injection	Aspirin	Painkiller	NSAID
Injection	Aspirin	Painkiller	Salicylate
Injection	Metformin	Antibiotic	Penicillin
Capsule	Ibuprofen	Antipyretic	H1 Blocker
Ointment	Omeprazole	Antihistamine	Penicillin
Tablet	Metformin	Antacid	Salicylate
Ointment	Aspirin	Antibiotic	Salicylate
Injection	Omeprazole	Antipyretic	PPI
Injection	Omeprazole	Antihistamine	H1 Blocker
Tablet	Metformin	Antibiotic	PPI
Injection	Omeprazole	Antipyretic	Salicylate
Tablet	Amoxicillin	Antibiotic	Penicillin
Capsule	Omeprazole	Antihistamine	NSAID
Ointment	Ibuprofen	Antihistamine	H1 Blocker
Capsule	Metformin	Antibiotic	H1 Blocker
Ointment	Metformin	Antacid	Penicillin
Injection	Omeprazole	Antacid	H1 Blocker
Ointment	Amoxicillin	Antipyretic	Penicillin
Ointment	Metformin	Antihistamine	Penicillin
Injection	Aspirin	Antihistamine	H1 Blocker
Injection	Omeprazole	Painkiller	PPI
Injection	Paracetamol	Painkiller	Salicylate
Tablet	Metformin	Antipyretic	Salicylate
Injection	Omeprazole	Painkiller	Penicillin
Capsule	Amoxicillin	Antipyretic	Salicylate
Capsule	Amoxicillin	Painkiller	H1 Blocker
Ointment	Metformin	Antacid	Penicillin
Syrup	Cetrizine	Antipyretic	PPI
Syrup	Metformin	Antacid	PPI
Capsule	Paracetamol	Antibiotic	NSAID
Injection	Omeprazole	Antibiotic	H1 Blocker
Capsule	Amoxicillin	Antacid	NSAID
